,Rank,Name,Skill Score,Expected Possible Players Remaining
929,2,Anthony Molina,0.0,1.0
928,2,Byron Buxton,0.0,1.0
927,2,Anthony Seigler,0.0,1.0
926,2,José Urquidy,0.0,1.0
925,2,Adley Rutschman,0.0,1.0
924,2,Paul DeJong,0.0,1.0
941,2,Yuki Matsui,0.0,1.0
963,2,Jose Trevino,0.0,1.0
942,2,Graham Pauley,0.0,1.0
944,2,Harrison Bader,0.0,1.0
961,2,Jakob Marsee,0.0,1.0
960,2,José Fermín,0.0,1.0
959,2,Ezequiel Duran,0.0,1.0
958,2,Patrick Bailey,0.0,1.0
957,2,CJ Abrams,0.0,1.0
956,2,Jacob Melton,0.0,1.0
955,2,Ryan Brasier,0.0,1.0
954,2,Riley Greene,0.0,1.0
953,2,Winston Santos,0.0,1.0
952,2,Michael Harris II,0.0,1.0
951,2,Gunnar Henderson,0.0,1.0
950,2,Blake Treinen,0.0,1.0
949,2,Corbin Carroll,0.0,1.0
948,2,Otto Lopez,0.0,1.0
947,2,José Ureña,0.0,1.0
946,2,Victor Scott II,0.0,1.0
945,2,Fernando Tatis Jr.,0.0,1.0
943,2,Tyrone Taylor,0.0,1.0
839,2,Tristan Gray,0.0,1.0
838,2,Steven Okert,0.0,1.0
837,2,Dietrich Enns,0.0,1.0
731,2,Daniel Schneemann,0.0,1.0
730,2,Justin Topa,0.0,1.0
729,2,Lars Nootbaar,0.0,1.0
728,2,Jack Suwinski,0.0,1.0
727,2,Mark Leiter Jr.,0.0,1.0
726,2,Will Benson,0.0,1.0
725,2,Gavin Lux,0.0,1.0
724,2,Dax Fulton,0.0,1.0
723,2,Jake Meyers,0.0,1.0
722,2,Heston Kjerstad,0.0,1.0
721,2,Tommy Nance,0.0,1.0
720,2,Dustin Harris,0.0,1.0
719,2,Josh Lowe,0.0,1.0
718,2,Corey Julks,0.0,1.0
717,2,Brandon Marsh,0.0,1.0
716,2,David Fry,0.0,1.0
715,2,Adrian Del Castillo,0.0,1.0
732,2,Connor Wong,0.0,1.0
714,2,Niko Kavadas,0.0,1.0
733,2,Trevor Larnach,0.0,1.0
735,2,Brennan Bernardino,0.0,1.0
752,2,Kendall Graveman,0.0,1.0
751,2,Spencer Horwitz,0.0,1.0
750,2,Lane Thomas,0.0,1.0
749,2,Shawn Armstrong,0.0,1.0
748,2,Michael Busch,0.0,1.0
747,2,Ryne Stanek,0.0,1.0
746,2,Tyler Rogers,0.0,1.0
745,2,Addison Barger,0.0,1.0
744,2,Chris Devenski,0.0,1.0
743,2,Pierce Johnson,0.0,1.0
742,2,Tyler Kinley,0.0,1.0
741,2,Ernie Clement,0.0,1.0
740,2,Ben Rice,0.0,1.0
739,2,Brett Wisely,0.0,1.0
738,2,Jesus Tinoco,0.0,1.0
737,2,Alex Jackson,0.0,1.0
736,2,Cam Booser,0.0,1.0
734,2,Jared Jones,0.0,1.0
753,2,Brock Stewart,0.0,1.0
713,2,Johan Oviedo,0.0,1.0
711,2,Joey Loperfido,0.0,1.0
689,2,Matt Wallner,0.0,1.0
688,2,Darren Baker,0.0,1.0
687,2,John Rave,0.0,1.0
686,2,Kyle Stowers,0.0,1.0
685,2,Luis Curvelo,0.0,1.0
684,2,JJ Bleday,0.0,1.0
683,2,Jarred Kelenic,0.0,1.0
682,2,Alexis Díaz,0.0,1.0
681,2,Kerry Carpenter,0.0,1.0
680,2,Taylor Trammell,0.0,1.0
679,2,Oliver Dunn,0.0,1.0
678,2,Valente Bellozo,0.0,1.0
677,2,Ben Lively,0.0,1.0
676,2,Michael Massey,0.0,1.0
675,2,Yariel Rodríguez,0.0,1.0
674,2,Dominic Canzone,0.0,1.0
673,2,Michael Lorenzen,0.0,1.0
690,2,Sam Moll,0.0,1.0
712,2,Jake Burger,0.0,1.0
691,2,Mickey Moniak,0.0,1.0
693,2,Tim Mayza,0.0,1.0
710,2,Sean Bouchard,0.0,1.0
709,2,Steven Kwan,0.0,1.0
708,2,Vinnie Pasquantino,0.0,1.0
707,2,Steven Matz,0.0,1.0
706,2,Garrett Mitchell,0.0,1.0
705,2,Kameron Misner,0.0,1.0
704,2,Michael Helman,0.0,1.0
703,2,Michael Siani,0.0,1.0
702,2,Shelby Miller,0.0,1.0
701,2,Will Robertson,0.0,1.0
700,2,Keider Montero,0.0,1.0
699,2,Hunter Feduccia,0.0,1.0
698,2,Braden Shewmake,0.0,1.0
697,2,Nolan Jones,0.0,1.0
696,2,José Quijada,0.0,1.0
695,2,Will Brennan,0.0,1.0
694,2,David Hamilton,0.0,1.0
692,2,Isaiah Campbell,0.0,1.0
1004,2,Daniel Espino,0.0,1.0
754,2,Manuel Rodríguez,0.0,1.0
756,2,Alec Burleson,0.0,1.0
815,2,Javier Assad,0.0,1.0
814,2,Isiah Kiner-Falefa,0.0,1.0
813,2,Kody Clemens,0.0,1.0
812,2,Yoshinobu Yamamoto,0.0,1.0
811,2,Miles Mastrobuoni,0.0,1.0
810,2,Pete Alonso,0.0,1.0
809,2,Derek Law,0.0,1.0
808,2,Omar Cruz,0.0,1.0
807,2,José Leclerc,0.0,1.0
806,2,Mason McCoy,0.0,1.0
805,2,Parker Meadows,0.0,1.0
804,2,Garrett Hampson,0.0,1.0
803,2,Kyle Manzardo,0.0,1.0
802,2,Alan Roden,0.0,1.0
801,2,Germán Márquez,0.0,1.0
800,2,Antonio Senzatela,0.0,1.0
799,2,Zack Short,0.0,1.0
816,2,Chas McCormick,0.0,1.0
798,2,Alex Call,0.0,1.0
817,2,Kai-Wei Teng,0.0,1.0
819,2,Tommy Kahnle,0.0,1.0
836,2,Tim Hill,0.0,1.0
835,2,Framber Valdez,0.0,1.0
834,2,Ronel Blanco,0.0,1.0
833,2,Andrew Kittredge,0.0,1.0
832,2,Victor Mederos,0.0,1.0
831,2,Myles Straw,0.0,1.0
830,2,Franco Aleman,0.0,1.0
829,2,Luis Severino,0.0,1.0
828,2,Michael Wacha,0.0,1.0
827,2,Angel Chivilli,0.0,1.0
826,2,Cole Sulser,0.0,1.0
825,2,Taylor Rogers,0.0,1.0
824,2,Michael Tonkin,0.0,1.0
823,2,Austin Hays,0.0,1.0
822,2,Emilio Pagán,0.0,1.0
821,2,Weston Wilson,0.0,1.0
820,2,Paul Sewald,0.0,1.0
818,2,Robbie Ray,0.0,1.0
755,2,Jake McCarthy,0.0,1.0
797,2,Tyler Callihan,0.0,1.0
795,2,Gerrit Cole,0.0,1.0
773,2,Lawrence Butler,0.0,1.0
772,2,Brett Baty,0.0,1.0
771,2,Terrin Vavra,0.0,1.0
770,2,Stuart Fairchild,0.0,1.0
769,2,James Outman,0.0,1.0
768,2,DaShawn Keirsey Jr.,0.0,1.0
767,2,Gregory Soto,0.0,1.0
766,2,Cal Stevenson,0.0,1.0
765,2,Kyle Tucker,0.0,1.0
764,2,Tristin English,0.0,1.0
763,2,MJ Melendez,0.0,1.0
762,2,Kyle Isbel,0.0,1.0
761,2,Jake Rogers,0.0,1.0
760,2,Brewer Hicklen,0.0,1.0
759,2,Griffin Conine,0.0,1.0
758,2,Derek Hill,0.0,1.0
757,2,Dane Myers,0.0,1.0
774,2,Rhylan Thomas,0.0,1.0
796,2,Trey Sweeney,0.0,1.0
775,2,Yilber Díaz,0.0,1.0
777,2,Trent Grisham,0.0,1.0
794,2,Alek Thomas,0.0,1.0
793,2,Will Smith,0.0,1.0
792,2,Andrew Knizner,0.0,1.0
791,2,Triston Casas,0.0,1.0
790,2,Danny Jansen,0.0,1.0
789,2,Brent Rooker,0.0,1.0
788,2,Sal Frelick,0.0,1.0
787,2,Michael Soroka,0.0,1.0
786,2,Nolan Gorman,0.0,1.0
785,2,Brice Turang,0.0,1.0
784,2,Adrian Morejon,0.0,1.0
783,2,Emiliano Teodo,0.0,1.0
782,2,Luis Peralta,0.0,1.0
781,2,Colton Cowser,0.0,1.0
780,2,Richie Palacios,0.0,1.0
779,2,Sean Murphy,0.0,1.0
778,2,Jarren Duran,0.0,1.0
776,2,Luis García Jr.,0.0,1.0
1005,2,Matt Olson,0.0,1.0
1006,2,Brandon Lowe,0.0,1.0
1007,2,Angel Bastardo,0.0,1.0
1235,2,Jackson Merrill,0.0,1.0
1234,2,Endy Rodríguez,0.0,1.0
1233,2,Mark Canha,0.0,1.0
1232,2,Matthew Lugo,0.0,1.0
1231,2,Noelvi Marte,0.0,1.0
1230,2,Fernando Cruz,0.0,1.0
1229,2,Seiya Suzuki,0.0,1.0
1228,2,James Wood,0.0,1.0
1227,2,Rafael Marchán,0.0,1.0
1226,2,Andy Pages,0.0,1.0
1225,2,Jac Caglianone,0.0,1.0
1224,2,Warming Bernabel,0.0,1.0
1223,2,Luis García,0.0,1.0
1222,2,Travis d'Arnaud,0.0,1.0
1221,2,Daylen Lile,0.0,1.0
1220,2,Brendan Donovan,0.0,1.0
1219,2,Raisel Iglesias,0.0,1.0
1236,2,Nick Kurtz,0.0,1.0
1218,2,Drew Romo,0.0,1.0
1237,2,Kevin Alcántara,0.0,1.0
1239,2,Evan Carter,0.0,1.0
1256,2,Luis Matos,0.0,1.0
1255,2,Tomoyuki Sugano,0.0,1.0
1254,2,Liam Hendriks,0.0,1.0
1253,2,Luisangel Acuña,0.0,1.0
1252,2,Marco Luciano,0.0,1.0
1251,2,Freddie Freeman,0.0,1.0
1250,2,Chase Burns,0.0,1.0
1249,2,Jose Herrera,0.0,1.0
1248,2,Curtis Mead,0.0,1.0
1247,2,Giancarlo Stanton,0.0,1.0
1246,2,Alex Freeland,0.0,1.0
1245,2,Francisco Alvarez,0.0,1.0
1244,2,Leo Jiménez,0.0,1.0
1243,2,Josh Bell,0.0,1.0
1242,2,Luis Rengifo,0.0,1.0
1241,2,Ceddanne Rafaela,0.0,1.0
1240,2,Martín Pérez,0.0,1.0
1238,2,Cole Young,0.0,1.0
1257,2,Yusei Kikuchi,0.0,1.0
1217,2,Leo Rivas,0.0,1.0
1215,2,Ha-Seong Kim,0.0,1.0
1192,2,Teoscar Hernández,0.0,1.0
1191,2,Jazz Chisholm Jr.,0.0,1.0
1190,2,Christian Moore,0.0,1.0
1189,2,George Springer,0.0,1.0
1188,2,Jon Berti,0.0,1.0
1187,2,Austin Nola,0.0,1.0
1186,2,James McCann,0.0,1.0
1185,2,Nacho Alvarez Jr.,0.0,1.0
1184,2,Bo Naylor,0.0,1.0
1183,2,Edouard Julien,0.0,1.0
1182,2,Max Muncy,0.0,1.0
1181,2,Steward Berroa,0.0,1.0
1180,2,Ezequiel Tovar,0.0,1.0
1179,2,Sam Haggerty,0.0,1.0
1178,2,Kyle Higashioka,0.0,1.0
1177,2,Cam Smith,0.0,1.0
1176,2,Bradgley Rodriguez,0.0,1.0
1193,2,Ji Hwan Bae,0.0,1.0
1216,2,Marcelo Mayer,0.0,1.0
1194,2,Hyeseong Kim,0.0,1.0
1196,2,Jonathan Aranda,0.0,1.0
1214,2,Keibert Ruiz,0.0,1.0
1213,2,Geraldo Perdomo,0.0,1.0
1212,2,Ronny Simon,0.0,1.0
1211,2,Tyler Black,0.0,1.0
1210,2,Carlos Correa,0.0,1.0
1209,2,Mike Yastrzemski,0.0,1.0
1208,2,Josh Naylor,0.0,1.0
1207,2,Jorbit Vivas,0.0,1.0
1205,2,Orelvis Martinez,0.0,1.0
1204,2,Mike Tauchman,0.0,1.0
1203,2,Oswaldo Cabrera,0.0,1.0
1202,2,Matt Koperniak,0.0,1.0
1201,2,César Salazar,0.0,1.0
1200,2,Tirso Ornelas,0.0,1.0
1199,2,Wenceel Pérez,0.0,1.0
1198,2,Jung Hoo Lee,0.0,1.0
1197,2,Anthony Rendon,0.0,1.0
1195,2,Carlos Rodríguez,0.0,1.0
1175,2,Joe Elbis,0.0,1.0
1258,2,Jared Young,0.0,1.0
1260,2,Lourdes Gurriel Jr.,0.0,1.0
1319,2,Max Kepler,0.0,1.0
1318,2,Angel Martínez,0.0,1.0
1317,2,Juan Brito,0.0,1.0
1316,2,Gio Urshela,0.0,1.0
1315,2,Masataka Yoshida,0.0,1.0
1314,2,Maximo Acosta,0.0,1.0
1313,2,Emmanuel Rodriguez,0.0,1.0
1312,2,Javier Sanoja,0.0,1.0
1311,2,Starling Marte,0.0,1.0
1310,2,Enrique Hernández,0.0,1.0
1309,2,Jhostynxon Garcia,0.0,1.0
1308,2,Jorge Polanco,0.0,1.0
1307,2,Yu Darvish,0.0,1.0
1306,2,Didier Fuentes,0.0,1.0
1305,2,Yoán Moncada,0.0,1.0
1304,2,Owen Caissie,0.0,1.0
1303,2,Jeferson Quero,0.0,1.0
1320,2,Shohei Ohtani,0.0,1.0
1302,2,Yandy Díaz,0.0,1.0
1321,2,Jose Altuve,0.0,1.0
1323,2,Salvador Perez,0.0,1.0
1340,2,Edgar Quero,0.0,1.0
1339,2,Martín Maldonado,0.0,1.0
1338,2,Ildemaro Vargas,0.0,1.0
1337,2,Jurickson Profar,0.0,1.0
1336,2,Jasson Domínguez,0.0,1.0
1335,2,Adael Amador,0.0,1.0
1334,2,Kenley Jansen,0.0,1.0
1333,2,Alejandro Osuna,0.0,1.0
1332,2,Moisés Ballesteros,0.0,1.0
1331,2,Yanquiel Fernández,0.0,1.0
1330,2,Francisco Lindor,0.0,1.0
1329,2,Jose Iglesias,0.0,1.0
1328,2,Jackson Chourio,0.0,1.0
1327,2,Miguel Rojas,0.0,1.0
1326,2,Victor Caratini,0.0,1.0
1325,2,Rob Refsnyder,0.0,1.0
1324,2,Christian Vázquez,0.0,1.0
1322,2,Elly De La Cruz,0.0,1.0
1259,2,Paul Goldschmidt,0.0,1.0
1301,2,Jorge Soler,0.0,1.0
1299,2,Jonatan Clase,0.0,1.0
1277,2,Adolis García,0.0,1.0
1276,2,Anthony Santander,0.0,1.0
1275,2,Bryan Ramos,0.0,1.0
1274,2,Willson Contreras,0.0,1.0
1273,2,Andrew McCutchen,0.0,1.0
1272,2,Jose Quintana,0.0,1.0
1271,2,Andy Ibáñez,0.0,1.0
1270,2,Ronny Mauricio,0.0,1.0
1269,2,Tsung-Che Cheng,0.0,1.0
1268,2,Gustavo Campero,0.0,1.0
1267,2,Carlos Carrasco,0.0,1.0
1266,2,Erasmo Ramírez,0.0,1.0
1265,2,Mauricio Dubón,0.0,1.0
1264,2,Jackson Holliday,0.0,1.0
1263,2,Roman Anthony,0.0,1.0
1262,2,Tommy Pham,0.0,1.0
1261,2,Ramón Urías,0.0,1.0
1278,2,Ozzie Albies,0.0,1.0
1300,2,Elias Díaz,0.0,1.0
1279,2,Willi Castro,0.0,1.0
1281,2,Abraham Toro,0.0,1.0
1298,2,Victor Mesa Jr.,0.0,1.0
1297,2,Marcell Ozuna,0.0,1.0
1296,2,Brayan Rocchio,0.0,1.0
1295,2,Eugenio Suárez,0.0,1.0
1294,2,Kirby Yates,0.0,1.0
1293,2,Jorge Barrosa,0.0,1.0
1292,2,Aroldis Chapman,0.0,1.0
1291,2,Xander Bogaerts,0.0,1.0
1290,2,Deyvison De Los Santos,0.0,1.0
1289,2,Justin Turner,0.0,1.0
1288,2,Ketel Marte,0.0,1.0
1287,2,Javier Báez,0.0,1.0
1286,2,Darell Hernaiz,0.0,1.0
1285,2,Tyler Heineman,0.0,1.0
1284,2,Wilmer Flores,0.0,1.0
1283,2,Dairon Blanco,0.0,1.0
1282,2,Jared Serna,0.0,1.0
1280,2,Junior Caminero,0.0,1.0
672,2,Angel Zerpa,0.0,1.0
1174,2,Vidal Bruján,0.0,1.0
1172,2,Yordan Alvarez,0.0,1.0
1066,2,Ryan O'Hearn,0.0,1.0
1065,2,Aaron Judge,0.0,1.0
1064,2,Taylor Walls,0.0,1.0
1063,2,Michael Conforto,0.0,1.0
1062,2,Eduardo Rodriguez,0.0,1.0
1061,2,Jake Mangum,0.0,1.0
1060,2,Bryce Johnson,0.0,1.0
1059,2,Manny Machado,0.0,1.0
1058,2,Masyn Winn,0.0,1.0
1057,2,Maikel Garcia,0.0,1.0
1056,2,Jacob Wilson,0.0,1.0
1055,2,Brice Matthews,0.0,1.0
1054,2,Jairo Iriarte,0.0,1.0
1053,2,Kyle Teel,0.0,1.0
1052,2,Gabriel Moreno,0.0,1.0
1051,2,Thomas Saggese,0.0,1.0
1050,2,Luinder Avila,0.0,1.0
1067,2,Jordan Romano,0.0,1.0
1049,2,Andruw Monasterio,0.0,1.0
1068,2,Adam Macko,0.0,1.0
1070,2,Brandon Nimmo,0.0,1.0
1087,2,Zac Veen,0.0,1.0
1086,2,Jonah Heim,0.0,1.0
1085,2,Alejandro Kirk,0.0,1.0
1084,2,Jhonny Pereda,0.0,1.0
1083,2,Max Scherzer,0.0,1.0
1082,2,Pedro León,0.0,1.0
1081,2,Andrés Giménez,0.0,1.0
1080,2,Bryan Reynolds,0.0,1.0
1079,2,Mike Trout,0.0,1.0
1078,2,Jose Siri,0.0,1.0
1077,2,Tommy Edman,0.0,1.0
1076,2,Lenyn Sosa,0.0,1.0
1075,2,Jacob deGrom,0.0,1.0
1074,2,Wilyer Abreu,0.0,1.0
1073,2,Randal Grichuk,0.0,1.0
1072,2,Gabriel Arias,0.0,1.0
1071,2,Luis Torrens,0.0,1.0
1069,2,Santiago Espinal,0.0,1.0
1088,2,Robert Hassell III,0.0,1.0
1048,2,Nick Yorke,0.0,1.0
1046,2,Kyren Paris,0.0,1.0
1024,2,Coby Mayo,0.0,1.0
1023,2,Rafael Montero,0.0,1.0
1022,2,Kristian Campbell,0.0,1.0
1021,2,Jean Cabrera,0.0,1.0
1020,2,Chris Sale,0.0,1.0
1019,2,Willy Adames,0.0,1.0
1018,2,Xavier Edwards,0.0,1.0
1017,2,Jesús Sánchez,0.0,1.0
1016,2,Alexander Canario,0.0,1.0
1015,2,Dylan Crews,0.0,1.0
1014,2,Alex Cobb,0.0,1.0
1013,2,Nathan Lukes,0.0,1.0
1012,2,Juan Soto,0.0,1.0
1011,2,Patrick Corbin,0.0,1.0
1010,2,Brooks Raley,0.0,1.0
1009,2,Jesse Winker,0.0,1.0
1008,2,Jake Cronenworth,0.0,1.0
1025,2,Cal Quantrill,0.0,1.0
1047,2,Enmanuel Valdez,0.0,1.0
1026,2,Michael Petersen,0.0,1.0
1028,2,Mickey Gasper,0.0,1.0
1045,2,Gleyber Torres,0.0,1.0
1044,2,Kenedy Corona,0.0,1.0
1043,2,Wyatt Langford,0.0,1.0
1042,2,Ali Sánchez,0.0,1.0
1041,2,Oswald Peraza,0.0,1.0
1040,2,Jordan Walker,0.0,1.0
1039,2,José Berríos,0.0,1.0
1038,2,Garrett Stubbs,0.0,1.0
1037,2,Matt Shaw,0.0,1.0
1036,2,Carlos Rodriguez,0.0,1.0
1035,2,Jordan Lawlar,0.0,1.0
1034,2,Yohel Pozo,0.0,1.0
1033,2,Andrés Chaparro,0.0,1.0
1032,2,Oneil Cruz,0.0,1.0
1031,2,Yimi García,0.0,1.0
1030,2,Amed Rosario,0.0,1.0
1029,2,Justin Wilson,0.0,1.0
1027,2,Cristian Mena,0.0,1.0
1173,2,Edmundo Sosa,0.0,1.0
1089,2,Ryan Johnson,0.0,1.0
1091,2,Colt Keith,0.0,1.0
1150,2,Johnathan Rodríguez,0.0,1.0
1149,2,Heliot Ramos,0.0,1.0
1148,2,Héctor Neris,0.0,1.0
1147,2,Orlando Arcia,0.0,1.0
1146,2,Freddy Fermin,0.0,1.0
1145,2,Tom Murphy,0.0,1.0
1144,2,Tucupita Marcano,0.0,1.0
1143,2,Brooks Baldwin,0.0,1.0
1142,2,Luke Maile,0.0,1.0
1141,2,Adam Frazier,0.0,1.0
1140,2,Jeff McNeil,0.0,1.0
1139,2,Christian Yelich,0.0,1.0
1138,2,J.T. Realmuto,0.0,1.0
1137,2,Luis Vázquez,0.0,1.0
1136,2,Mitch Garver,0.0,1.0
1135,2,Liover Peguero,0.0,1.0
1134,2,Vladimir Guerrero Jr.,0.0,1.0
1151,2,Kyle Farmer,0.0,1.0
1133,2,Luis Urías,0.0,1.0
1152,2,Marcus Semien,0.0,1.0
1154,2,Chris Taylor,0.0,1.0
1171,2,Brady House,0.0,1.0
1170,2,Kodai Senga,0.0,1.0
1169,2,Luke Keaschall,0.0,1.0
1168,2,Gary Sánchez,0.0,1.0
1167,2,Agustín Ramírez,0.0,1.0
1166,2,Moisés Chace,0.0,1.0
1165,2,Luis Perales,0.0,1.0
1164,2,José Tena,0.0,1.0
1163,2,Nasim Nuñez,0.0,1.0
1162,2,Ramón Laureano,0.0,1.0
1161,2,Christian Walker,0.0,1.0
1160,2,Everson Pereira,0.0,1.0
1159,2,Albert Suárez,0.0,1.0
1158,2,José Caballero,0.0,1.0
1157,2,Liam Hicks,0.0,1.0
1156,2,Joc Pederson,0.0,1.0
1155,2,Michael A. Taylor,0.0,1.0
1153,2,Denzel Clarke,0.0,1.0
1090,2,Sam Aldegheri,0.0,1.0
1132,2,Austin Wynns,0.0,1.0
1130,2,Nolan Arenado,0.0,1.0
1108,2,Ian Happ,0.0,1.0
1107,2,Petey Halpin,0.0,1.0
1106,2,Colson Montgomery,0.0,1.0
1105,2,Luis Castillo,0.0,1.0
1104,2,Clayton Kershaw,0.0,1.0
1103,2,Miguel Andujar,0.0,1.0
1102,2,Justin Verlander,0.0,1.0
1101,2,Jose Miranda,0.0,1.0
1100,2,Nolan Schanuel,0.0,1.0
1099,2,Andry Lara,0.0,1.0
1098,2,Rafael Devers,0.0,1.0
1097,2,Nick Pivetta,0.0,1.0
1096,2,Huascar Brazobán,0.0,1.0
1095,2,Charlie Morton,0.0,1.0
1094,2,Jorge Mateo,0.0,1.0
1093,2,Tyler Soderstrom,0.0,1.0
1092,2,Pete Crow-Armstrong,0.0,1.0
1109,2,Thairo Estrada,0.0,1.0
1131,2,Iván Herrera,0.0,1.0
1110,2,Miguel Amaya,0.0,1.0
1112,2,Jhonkensy Noel,0.0,1.0
1129,2,Brooks Lee,0.0,1.0
1128,2,Luis Arraez,0.0,1.0
1127,2,Miguel Vargas,0.0,1.0
1126,2,Shota Imanaga,0.0,1.0
1125,2,Sem Robberse,0.0,1.0
1124,2,Wade Miley,0.0,1.0
